codigo_reg,localidade,idade,perc,sexo
16,Apucarana,75-79,1.0,m
16,Apucarana,80+,1.14,m
7,Pato Branco,0-4,3.6,f
7,Pato Branco,5-9,3.5,f
7,Pato Branco,10-14,3.25,f
7,Pato Branco,15-19,3.34,f
7,Pato Branco,20-24,3.88,f
7,Pato Branco,25-29,4.13,f
7,Pato Branco,30-34,3.84,f
7,Pato Branco,35-39,3.68,f
7,Pato Branco,40-44,3.42,f
7,Pato Branco,45-49,3.25,f
7,Pato Branco,50-54,3.21,f
7,Pato Branco,55-59,3.04,f
7,Pato Branco,60-64,2.6,f
7,Pato Branco,65-69,2.06,f
7,Pato Branco,70-74,1.53,f
7,Pato Branco,75-79,1.07,f
7,Pato Branco,80+,1.3,f
4,Irati,0-4,3.64,f
4,Irati,5-9,3.5,f
4,Irati,10-14,3.25,f
4,Irati,15-19,3.47,f
4,Irati,20-24,3.92,f
4,Irati,25-29,4.18,f
4,Irati,30-34,3.77,f
4,Irati,35-39,3.58,f
4,Irati,40-44,3.5,f
4,Irati,45-49,3.3,f
4,Irati,50-54,3.19,f
4,Irati,55-59,2.86,f
4,Irati,60-64,2.27,f
4,Irati,65-69,1.8,f
4,Irati,70-74,1.31,f
4,Irati,75-79,0.9,f
4,Irati,80+,1.0,f
5,Guarapuava,0-4,3.78,f
5,Guarapuava,5-9,3.62,f
5,Guarapuava,10-14,3.23,f
5,Guarapuava,15-19,3.44,f
5,Guarapuava,20-24,4.05,f
5,Guarapuava,25-29,4.17,f
5,Guarapuava,30-34,3.69,f
5,Guarapuava,35-39,3.59,f
5,Guarapuava,40-44,3.51,f
5,Guarapuava,45-49,3.37,f
5,Guarapuava,50-54,3.21,f
5,Guarapuava,55-59,2.94,f
5,Guarapuava,60-64,2.39,f
5,Guarapuava,65-69,1.9,f
5,Guarapuava,70-74,1.35,f
5,Guarapuava,75-79,0.94,f
5,Guarapuava,80+,1.11,f
10,Cascavel,0-4,3.3,f
10,Cascavel,5-9,3.27,f
10,Cascavel,10-14,3.1,f
10,Cascavel,15-19,3.27,f
10,Cascavel,20-24,3.81,f
10,Cascavel,25-29,4.11,f
10,Cascavel,30-34,3.93,f
10,Cascavel,35-39,3.77,f
10,Cascavel,40-44,3.6,f
10,Cascavel,45-49,3.49,f
10,Cascavel,50-54,3.39,f
10,Cascavel,55-59,3.09,f
10,Cascavel,60-64,2.57,f
10,Cascavel,65-69,2.07,f
10,Cascavel,70-74,1.53,f
10,Cascavel,75-79,1.04,f
10,Cascavel,80+,1.28,f
21,Telêmaco Borba,0-4,4.11,f
21,Telêmaco Borba,5-9,3.9,f
21,Telêmaco Borba,10-14,3.51,f
21,Telêmaco Borba,15-19,3.55,f
21,Telêmaco Borba,20-24,4.12,f
21,Telêmaco Borba,25-29,4.02,f
21,Telêmaco Borba,30-34,3.72,f
21,Telêmaco Borba,35-39,3.67,f
21,Telêmaco Borba,40-44,3.48,f
21,Telêmaco Borba,45-49,3.17,f
21,Telêmaco Borba,50-54,2.93,f
21,Telêmaco Borba,55-59,2.62,f
21,Telêmaco Borba,60-64,2.08,f
21,Telêmaco Borba,65-69,1.64,f
21,Telêmaco Borba,70-74,1.2,f
21,Telêmaco Borba,75-79,0.83,f
21,Telêmaco Borba,80+,1.0,f
3,Ponta Grossa,0-4,3.86,f
3,Ponta Grossa,5-9,3.72,f
3,Ponta Grossa,10-14,3.49,f
3,Ponta Grossa,15-19,3.65,f
3,Ponta Grossa,20-24,4.08,f
3,Ponta Grossa,25-29,4.11,f
3,Ponta Grossa,30-34,3.82,f
3,Ponta Grossa,35-39,3.71,f
3,Ponta Grossa,40-44,3.61,f
3,Ponta Grossa,45-49,3.28,f
3,Ponta Grossa,50-54,3.02,f
3,Ponta Grossa,55-59,2.79,f
3,Ponta Grossa,60-64,2.31,f
3,Ponta Grossa,65-69,1.81,f
3,Ponta Grossa,70-74,1.34,f
3,Ponta Grossa,75-79,0.92,f
3,Ponta Grossa,80+,1.14,f
17,Londrina,0-4,3.03,f
17,Londrina,5-9,3.04,f
17,Londrina,10-14,3.01,f
17,Londrina,15-19,3.23,f
17,Londrina,20-24,3.62,f
17,Londrina,25-29,3.76,f
17,Londrina,30-34,3.88,f
17,Londrina,35-39,3.89,f
17,Londrina,40-44,3.77,f
17,Londrina,45-49,3.43,f
17,Londrina,50-54,3.46,f
17,Londrina,55-59,3.28,f
17,Londrina,60-64,2.9,f
17,Londrina,65-69,2.42,f
17,Londrina,70-74,1.87,f
17,Londrina,75-79,1.3,f
17,Londrina,80+,1.67,f
18,Cornélio Procópio,0-4,2.96,f
18,Cornélio Procópio,5-9,2.98,f
18,Cornélio Procópio,10-14,2.81,f
18,Cornélio Procópio,15-19,2.8,f
18,Cornélio Procópio,20-24,3.26,f
18,Cornélio Procópio,25-29,3.7,f
18,Cornélio Procópio,30-34,3.64,f
18,Cornélio Procópio,35-39,3.52,f
18,Cornélio Procópio,40-44,3.54,f
18,Cornélio Procópio,45-49,3.55,f
18,Cornélio Procópio,50-54,3.63,f
18,Cornélio Procópio,55-59,3.51,f
18,Cornélio Procópio,60-64,3.02,f
18,Cornélio Procópio,65-69,2.6,f
18,Cornélio Procópio,70-74,2.03,f
18,Cornélio Procópio,75-79,1.44,f
18,Cornélio Procópio,80+,1.86,f
20,Toledo,0-4,3.0,f
20,Toledo,5-9,3.05,f
20,Toledo,10-14,2.99,f
20,Toledo,15-19,3.19,f
20,Toledo,20-24,3.66,f
20,Toledo,25-29,4.03,f
20,Toledo,30-34,4.01,f
20,Toledo,35-39,3.84,f
20,Toledo,40-44,3.63,f
20,Toledo,45-49,3.54,f
20,Toledo,50-54,3.54,f
20,Toledo,55-59,3.36,f
20,Toledo,60-64,2.76,f
20,Toledo,65-69,2.24,f
20,Toledo,70-74,1.74,f
20,Toledo,75-79,1.22,f
20,Toledo,80+,1.34,f
12,Umuarama,0-4,2.93,f
12,Umuarama,5-9,2.99,f
12,Umuarama,10-14,2.96,f
12,Umuarama,15-19,3.0,f
12,Umuarama,20-24,3.35,f
12,Umuarama,25-29,3.76,f
12,Umuarama,30-34,3.82,f
12,Umuarama,35-39,3.66,f
12,Umuarama,40-44,3.56,f
12,Umuarama,45-49,3.55,f
12,Umuarama,50-54,3.63,f
12,Umuarama,55-59,3.33,f
12,Umuarama,60-64,2.89,f
12,Umuarama,65-69,2.4,f
12,Umuarama,70-74,1.87,f
12,Umuarama,75-79,1.3,f
12,Umuarama,80+,1.73,f
8,Francisco Beltrão,0-4,3.16,f
8,Francisco Beltrão,5-9,3.14,f
8,Francisco Beltrão,10-14,2.89,f
