,municipio,codigo,area territorial - km^2 (2020),pop estimada - pessoas (2020),densidade demografica - hab/km^2 (2020),IDHM indice de desenvolvimento humano municipal (2010),PIB per capita - reais (2018)
25,Astorga,4102109,434.792,26209,60.27939796500396,0.747,29141.11
26,Atalaia,4102208,137.663,3881,28.19203417040163,0.736,35008.12
27,Balsa Nova,4102307,348.926,13092,37.520849693058125,0.696,53915.82
28,Bandeirantes,4102406,445.192,31211,70.1068303114162,0.727,24859.03
29,Barbosa Ferraz,4102505,538.636,11426,21.212841325124945,0.696,17993.5
30,Barracão,4102604,171.402,10312,60.16265854540788,0.706,24067.18
31,Barra do Jacaré,4102703,115.724,2781,24.031315889530262,0.744,33015.66
32,Bela Vista da Caroba,4102752,148.107,3457,23.341233027473383,0.681,20125.01
33,Bela Vista do Paraíso,4102802,242.689,15399,63.45157794543634,0.716,29495.52
34,Bituruna,4102901,1228.285,16400,13.351950076733004,0.667,22965.66
35,Boa Esperança,4103008,302.739,4047,13.36795061092228,0.72,48707.82
36,Boa Esperança do Iguaçu,4103024,151.797,2470,16.27173132538851,0.7,36931.39
37,Boa Ventura de São Roque,4103040,620.453,6365,10.258633611248555,0.655,36479.27
38,Boa Vista da Aparecida,4103057,256.297,7540,29.418994369813145,0.67,18345.91
39,Bocaiúva do Sul,4103107,826.344,13129,15.88805630584841,0.64,15505.64
40,Bom Jesus do Sul,4103156,173.817,3506,20.170639235517815,0.697,20289.39
41,Bom Sucesso,4103206,322.755,7068,21.898963610168703,0.686,16424.65
42,Bom Sucesso do Sul,4103222,195.931,3254,16.607887470589134,0.742,62685.47
43,Borrazópolis,4103305,334.378,6439,19.256649659965667,0.717,31389.44
44,Braganey,4103354,343.321,5382,15.676291284250016,0.701,31360.85
45,Brasilândia do Sul,4103370,291.036,2585,8.882062700147062,0.681,70764.86
46,Cafeara,4103404,185.8,2954,15.898815931108718,0.693,23156.44
47,Cafelândia,4103453,271.724,18456,67.92186188926999,0.748,77661.71
48,Cafezal do Sul,4103479,335.392,4009,11.953177177750215,0.692,25337.49
49,Califórnia,4103503,141.817,8606,60.68383903199193,0.722,20864.61
50,Cambará,4103602,366.153,25466,69.55016072516133,0.721,28586.57
51,Cambé,4103701,495.375,107341,216.68634872571283,0.734,36311.28
52,Cambira,4103800,163.388,7917,48.455210909001885,0.725,21998.93
53,Campina da Lagoa,4103909,796.614,14043,17.62836204234422,0.704,28823.18
54,Campina do Simão,4103958,448.424,3859,8.60569461045796,0.63,24117.82
55,Campina Grande do Sul,4104006,539.245,43685,81.01141410676038,0.718,36518.02
56,Campo Bonito,4104055,433.832,3763,8.673864537424626,0.681,42442.22
57,Campo do Tenente,4104105,304.488,8045,26.421402485483828,0.686,25836.83
58,Campo Largo,4104204,1243.551,133865,107.64737433366224,0.745,33304.69
59,Campo Magro,4104253,275.352,29740,108.00720532264157,0.701,14644.71
60,Campo Mourão,4104303,749.637,95488,127.37898476195814,0.757,41536.16
61,Cândido de Abreu,4104402,1510.16,14809,9.80624569582031,0.629,20862.25
62,Candói,4104428,1512.786,16053,10.611547171906667,0.635,32013.04
63,Cantagalo,4104451,583.54,13329,22.841621825410428,0.635,19378.91
64,Capanema,4104501,419.036,19148,45.69535791674224,0.706,32437.22
65,Capitão Leônidas Marques,4104600,275.748,15834,57.42199399451673,0.716,74160.76
66,Carambeí,4104659,649.68,23825,36.671900012313756,0.728,56774.32
67,Carlópolis,4104709,451.418,14356,31.802010553411694,0.713,23990.73
68,Cascavel,4104808,2101.074,332333,158.17291537566024,0.782,37733.02
69,Castro,4104907,2531.503,71809,28.36615243987465,0.703,39629.73
70,Catanduvas,4105003,581.756,10167,17.476399040147417,0.678,26803.32
71,Centenário do Sul,4105102,371.834,10764,28.948401706137684,0.668,20943.44
72,Cerro Azul,4105201,1341.189,17833,13.296410871249316,0.573,17862.32
73,Céu Azul,4105300,1179.449,11819,10.02078089005968,0.732,54748.1
74,Chopinzinho,4105409,959.692,19167,19.9720326938226,0.74,34096.42
75,Cianorte,4105508,811.666,83816,103.26415052496962,0.755,32662.63
76,Cidade Gaúcha,4105607,403.045,12797,31.750797057400536,0.718,33163.57
77,Clevelândia,4105706,703.638,16450,23.378498602974823,0.694,27935.92
78,Colombo,4105805,197.793,246540,1246.4546268068132,0.733,21682.44
79,Colorado,4105904,407.568,24145,59.2416480194716,0.73,25897.41
80,Congonhinhas,4106001,535.963,8857,16.525394476857546,0.668,23435.05
81,Conselheiro Mairinck,4106100,204.705,3876,18.934564373122296,0.707,24756.47
82,Contenda,4106209,299.037,18837,62.99220497797932,0.681,21847.83
83,Corbélia,4106308,529.137,17117,32.348900190309884,0.738,35813.38
84,Cornélio Procópio,4106407,635.1,47842,75.32986931191938,0.759,32330.82
85,Coronel Domingos Soares,4106456,1562.848,7518,4.810448616884048,0.6,26205.69
86,Coronel Vivida,4106506,684.417,20580,30.069387522519165,0.723,32847.6
87,Corumbataí do Sul,4106555,164.341,3127,19.027509872764554,0.638,19914.77
88,Cruzeiro do Iguaçu,4106571,161.862,4240,26.195153896529142,0.709,26771.61
89,Cruzeiro do Oeste,4106605,775.984,20947,26.9941132806862,0.717,39631.52
90,Cruzeiro do Sul,4106704,259.103,4449,17.170777644411682,0.713,41283.44
91,Cruz Machado,4106803,1478.35,18741,12.67697094733994,0.664,19721.21
92,Cruzmaltina,4106852,312.299,2921,9.35321598852382,0.666,37981.42
93,Curitiba,4106902,434.892,1948626,4480.712452746889,0.823,45458.29
94,Curiúva,4107009,576.263,15196,26.369904019518863,0.656,15485.22
95,Diamante do Norte,4107108,242.887,5030,20.709218690172797,0.723,67956.36
96,Diamante do Sul,4107124,347.233,3424,9.860813920335913,0.608,15628.77
97,Diamante D'Oeste,4107157,309.11,5266,17.036006599592376,0.644,19085.91
98,Dois Vizinhos,4107207,418.648,41038,98.02507118151765,0.767,39449.27
99,Douradina,4107256,419.853,8869,21.12406008769736,0.724,68677.24
100,Doutor Camargo,4107306,118.279,5983,50.58378917643876,0.746,25886.51
101,Enéas Marques,4107405,192.203,5933,30.868404759551098,0.752,36862.93
102,Engenheiro Beltrão,4107504,467.47,13981,29.907801570154234,0.73,40211.54
103,Esperança Nova,4107520,138.56,1665,12.016454965357967,0.689,28547.76
104,Entre Rios do Oeste,4107538,120.967,4596,37.99383302884258,0.761,50894.83
105,Espigão Alto do Iguaçu,4107546,326.44,4048,12.40044112241147,0.636,27409.42
106,Farol,4107553,289.232,3041,10.51405100403828,0.715,50248.77
107,Faxinal,4107603,715.943,17316,24.186282986215385,0.687,24752.72
108,Fazenda Rio Grande,4107652,116.678,102004,874.2350743070673,0.72,25607.26
109,Fênix,4107702,234.099,4748,20.282017437067225,0.716,31281.16
110,Fernandes Pinheiro,4107736,406.5,5602,13.781057810578107,0.645,31214.74
111,Figueira,4107751,129.769,7696,59.30538110026277,0.677,19071.11
112,Floraí,4107801,191.133,4906,25.66799035226779,0.745,35608.91
113,Flor da Serra do Sul,4107850,238.907,4603,19.266911392299093,0.682,26833.98
114,Floresta,4107900,158.226,6851,43.29882573028453,0.736,30945.99
115,Florestópolis,4108007,246.331,10453,42.43477272450483,0.701,23371.68
116,Flórida,4108106,83.046,2699,32.50006020759579,0.732,22595.37
117,Formosa do Oeste,4108205,275.712,6460,23.430246053853296,0.723,39962.99
118,Foz do Iguaçu,4108304,618.057,258248,417.8384841527561,0.751,56702.71
119,Francisco Alves,4108320,321.898,5993,18.617698774145847,0.669,32119.32
120,Francisco Beltrão,4108403,735.111,92216,125.44500082300496,0.774,35460.16
121,Foz do Jordão,4108452,235.382,4556,19.355770619673553,0.645,25851.65
122,General Carneiro,4108502,1071.183,13685,12.77559483300239,0.652,20913.85
123,Godoy Moreira,4108551,131.012,2898,22.120111134857876,0.675,17343.1
124,Goioerê,4108601,564.163,28808,51.06325654110603,0.731,31176.74
125,Goioxim,4108650,702.471,7053,10.040272125112638,0.641,25259.49
126,Grandes Rios,4108700,314.198,5497,17.495337335056238,0.658,21100.41
