codigo,localidade,idade,perc,sexo
4107850,Flor da Serra do Sul,80+,0.016753926701570682,m
4102208,Atalaia,0-4,0.023209876543209877,m
4102208,Atalaia,5-9,0.024691358024691357,m
4102208,Atalaia,10-14,0.02345679012345679,m
4102208,Atalaia,15-19,0.029382716049382716,m
4102208,Atalaia,20-24,0.03358024691358025,m
4102208,Atalaia,25-29,0.03209876543209877,m
4102208,Atalaia,30-34,0.03234567901234568,m
4102208,Atalaia,35-39,0.036049382716049384,m
4102208,Atalaia,40-44,0.03185185185185185,m
4102208,Atalaia,45-49,0.04049382716049383,m
4102208,Atalaia,50-54,0.04246913580246914,m
4102208,Atalaia,55-59,0.037037037037037035,m
4102208,Atalaia,60-64,0.03333333333333333,m
4102208,Atalaia,65-69,0.02419753086419753,m
4102208,Atalaia,70-74,0.01950617283950617,m
4102208,Atalaia,75-79,0.014320987654320988,m
4102208,Atalaia,80+,0.008148148148148147,m
4109302,Guaraniaçu,0-4,0.03300419315568781,m
4109302,Guaraniaçu,5-9,0.033342350872446906,m
4109302,Guaraniaçu,10-14,0.029013932097930475,m
4109302,Guaraniaçu,15-19,0.02752603814419045,m
4109302,Guaraniaçu,20-24,0.03043419450831868,m
4109302,Guaraniaçu,25-29,0.038347085080481534,m
4109302,Guaraniaçu,30-34,0.03246314080887326,m
4109302,Guaraniaçu,35-39,0.03212498309211416,m
4109302,Guaraniaçu,40-44,0.03368050858920601,m
4109302,Guaraniaçu,45-49,0.03516840254294603,m
4109302,Guaraniaçu,50-54,0.03604761260651968,m
4109302,Guaraniaçu,55-59,0.03300419315568781,m
4109302,Guaraniaçu,60-64,0.028743405924523197,m
4109302,Guaraniaçu,65-69,0.02306235628297038,m
4109302,Guaraniaçu,70-74,0.016704991207899363,m
4109302,Guaraniaçu,75-79,0.013661571757067496,m
4109302,Guaraniaçu,80+,0.014878939537400243,m
4120150,Porto Barreiro,0-4,0.03591628959276018,m
4120150,Porto Barreiro,5-9,0.03506787330316742,m
4120150,Porto Barreiro,10-14,0.03167420814479638,m
4120150,Porto Barreiro,15-19,0.031108597285067874,m
4120150,Porto Barreiro,20-24,0.037047511312217195,m
4120150,Porto Barreiro,25-29,0.0418552036199095,m
4120150,Porto Barreiro,30-34,0.035350678733031674,m
4120150,Porto Barreiro,35-39,0.035633484162895926,m
4120150,Porto Barreiro,40-44,0.03789592760180995,m
4120150,Porto Barreiro,45-49,0.03252262443438914,m
4120150,Porto Barreiro,50-54,0.03478506787330317,m
4120150,Porto Barreiro,55-59,0.03082579185520362,m
4120150,Porto Barreiro,60-64,0.033936651583710405,m
4120150,Porto Barreiro,65-69,0.02262443438914027,m
4120150,Porto Barreiro,70-74,0.019796380090497737,m
4120150,Porto Barreiro,75-79,0.011312217194570135,m
4120150,Porto Barreiro,80+,0.013574660633484163,m
4105904,Colorado,0-4,0.026236125126135216,m
4105904,Colorado,5-9,0.027077026572485705,m
4105904,Colorado,10-14,0.02674066599394551,m
4105904,Colorado,15-19,0.02964177598385469,m
4105904,Colorado,20-24,0.03548604103599058,m
4105904,Colorado,25-29,0.03754624957954927,m
4105904,Colorado,30-34,0.038513286242852336,m
4105904,Colorado,35-39,0.038681466532122434,m
4105904,Colorado,40-44,0.03796670030272452,m
4105904,Colorado,45-49,0.0360326269761184,m
4105904,Colorado,50-54,0.035149680457450386,m
4105904,Colorado,55-59,0.032542885973763876,m
4105904,Colorado,60-64,0.02922132526067945,m
4105904,Colorado,65-69,0.024974772956609485,m
4105904,Colorado,70-74,0.017658930373360242,m
4105904,Colorado,75-79,0.011352169525731584,m
4105904,Colorado,80+,0.011898755465859402,m
4107751,Figueira,0-4,0.033595166163141996,m
4107751,Figueira,5-9,0.032749244712990934,m
4107751,Figueira,10-14,0.02851963746223565,m
4107751,Figueira,15-19,0.02610271903323263,m
4107751,Figueira,20-24,0.03226586102719033,m
4107751,Figueira,25-29,0.03746223564954683,m
4107751,Figueira,30-34,0.031299093655589125,m
4107751,Figueira,35-39,0.030332326283987916,m
4107751,Figueira,40-44,0.03287009063444109,m
4107751,Figueira,45-49,0.03552870090634441,m
4107751,Figueira,50-54,0.03311178247734139,m
4107751,Figueira,55-59,0.03419939577039275,m
4107751,Figueira,60-64,0.028036253776435045,m
4107751,Figueira,65-69,0.02283987915407855,m
4107751,Figueira,70-74,0.01933534743202417,m
4107751,Figueira,75-79,0.013897280966767372,m
